avg_typing_speed,location_encoded,login_hour,failed_attempts,location_mismatch,password_length,day_of_week,label
6.42,2,5,3,1,6,5,1
6.45,2,4,4,1,14,6,1
5.67,4,4,5,1,13,6,1
3.23,3,22,0,0,12,5,0
2.7,1,8,0,0,17,4,0
6.55,4,0,2,1,19,6,1
0.61,2,2,5,1,15,2,1
6.94,4,0,5,1,15,0,1
2.55,3,22,0,0,14,6,0
0.31,5,2,3,1,10,3,1
6.34,5,3,5,1,18,2,1
2.55,1,10,0,0,16,3,0
5.75,5,5,3,1,8,2,1
2.7,0,22,0,0,10,2,0
2.81,0,22,0,0,12,3,0
5.99,5,5,3,1,13,6,1
2.44,3,22,0,0,12,2,0
3.01,3,10,0,0,11,4,0
0.67,5,5,4,1,18,4,1
0.65,5,4,3,1,14,1,1
0.61,5,5,2,1,12,6,1
3.49,0,21,0,0,11,1,0
2.4,0,10,0,0,16,5,0
5.68,4,2,4,1,12,3,1
7.07,4,3,4,1,9,0,1
2.66,0,22,0,0,14,0,0
2.79,0,9,0,0,13,5,0
0.25,4,4,4,1,14,4,1
2.25,1,22,0,0,12,3,0
2.52,3,19,0,0,14,2,0
0.65,4,4,2,1,10,2,1
3.15,1,20,0,0,12,6,0
6.72,2,1,3,1,17,0,1
3.15,1,20,0,0,17,3,0
6.7,4,2,3,1,7,4,1
3.6,0,19,0,0,17,5,0
0.48,2,0,3,1,13,5,1
1.01,5,4,4,1,8,0,1
6.32,4,1,4,1,19,1,1
0.74,4,1,2,1,17,2,1
3.05,0,9,0,0,17,5,0
2.65,0,9,1,0,15,5,0
2.8,3,8,0,0,14,0,0
2.7,0,10,0,0,12,6,0
0.28,4,3,2,1,14,0,1
2.89,3,8,0,0,17,1,0
3.54,1,22,0,0,14,5,0
0.56,2,5,4,1,7,1,1
7.12,5,5,5,1,13,5,1
3.14,3,9,0,0,13,2,0
2.67,0,8,1,0,15,1,0
2.64,1,9,1,0,11,1,0
2.99,0,20,0,0,13,6,0
4.97,5,5,2,1,13,0,1
0.52,4,2,2,1,10,1,1
3.28,0,8,0,0,16,4,0
2.39,1,20,0,0,15,1,0
7.63,5,4,2,1,18,4,1
0.67,5,2,2,1,9,6,1
6.03,2,5,5,1,11,6,1
5.25,4,1,3,1,6,6,1
3.12,0,20,0,0,16,2,0
1.5,1,19,0,0,13,0,0
0.37,4,2,2,1,17,5,1
2.92,0,8,0,0,12,2,0
6.62,2,2,2,1,16,1,1
2.79,1,22,0,0,12,1,0
2.64,0,18,1,0,11,0,0
2.8,1,22,0,0,14,3,0
2.66,1,8,1,0,16,6,0
3.3,1,21,0,0,15,5,0
0.8,5,1,2,1,11,5,1
5.22,4,5,5,1,7,3,1
0.1,2,2,5,1,16,2,1
1.89,0,9,1,0,13,5,0
0.13,5,1,3,1,10,2,1
6.7,2,2,3,1,18,4,1
3.03,1,10,0,0,12,2,0
3.18,3,22,0,0,10,2,0
1.06,5,5,3,1,13,1,1
6.99,5,0,4,1,8,2,1
0.98,5,5,4,1,6,4,1
0.43,5,1,3,1,12,5,1
3.32,0,21,0,0,16,0,0
0.48,4,0,3,1,15,5,1
2.34,3,9,0,0,15,4,0
2.96,1,19,0,0,17,4,0
0.37,4,5,2,1,19,0,1
0.62,5,4,5,1,16,2,1
2.42,3,21,0,0,17,3,0
6.03,4,2,3,1,9,1,1
2.74,1,9,1,0,16,6,0
5.09,4,0,4,1,12,0,1
2.88,1,21,1,0,15,6,0
2.93,3,8,0,0,17,4,0
0.69,4,0,4,1,8,6,1
5.7,4,2,2,1,9,4,1
