username,typing_speed,home_country,login_country,login_city,login_region,login_zip,login_isp,login_timezone,latitude,longitude,login_ip,login_hour,failed_attempts,location_mismatch,password_length,day_of_week,ml_probability,risk_score,risk_reasons,result,ts,rf_probability,lstm_probability,lstm_used
aunty1234,0.0,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,,,,,,0.0,100,Wrong password attempt,Failed,2026-05-31T14:42:20.433059,,,
aunty1234,0.0,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,,,,,,0.0,100,Wrong password attempt,Failed,2026-05-31T14:42:21.139963,,,
aunty1234,0.0,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,,,,,,0.0,100,Wrong password attempt,Failed,2026-05-31T14:42:21.638732,,,
aunty1234,0.0,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,,,,,,0.0,100,Wrong password attempt,Failed,2026-05-31T14:42:22.611923,,,
aunty1234,0.0,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,,,,,,0.0,100,Wrong password attempt,Failed,2026-05-31T14:42:23.121504,,,
aunty1234,0.0,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,,,,,,0.0,100,Wrong password attempt,Failed,2026-05-31T14:42:23.812271,,,
capstone,0.15,Nepal,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,14.0,0.0,1.0,10.0,6.0,0.4,45,Typing speed is very slow. | The login country is different from the user's home country.,Suspicious,2026-05-31T14:49:30.034365,,,
cup,0.14,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,14.0,0.0,0.0,10.0,6.0,0.0933,20,Typing speed is very slow.,Legitimate,2026-05-31T14:50:58.386659,,,
cup,0.24,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,14.0,0.0,0.0,10.0,6.0,0.0933,20,Typing speed is very slow.,Legitimate,2026-05-31T14:51:46.215286,,,
baag,0.11,Other,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,14.0,0.0,1.0,10.0,6.0,0.4,45,Typing speed is very slow. | The login country is different from the user's home country.,Suspicious,2026-05-31T14:53:17.552181,,,
bottle,0.15,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,14.0,0.0,0.0,10.0,6.0,0.0933,20,Typing speed is very slow.,Legitimate,2026-05-31T14:54:36.433004,,,
bottle,0.29,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,14.0,0.0,0.0,10.0,6.0,0.0933,20,Typing speed is very slow.,Legitimate,2026-05-31T14:55:30.482476,,,
fivefive,0.19,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,14.0,0.0,0.0,10.0,6.0,0.0933,20,Typing speed is very slow.,Legitimate,2026-05-31T14:56:33.850071,,,
fivefive,0.35,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,14.0,0.0,0.0,10.0,6.0,0.0933,20,Typing speed is very slow.,Legitimate,2026-05-31T14:57:03.031201,,,
fivefive,0.0,,Unknown,,,,,,,,,,,,,,0.0,100,Wrong OTP,Blocked - Wrong OTP,2026-05-31T14:57:32.554480,,,
fivefive,0.0,,Unknown,,,,,,,,,,,,,,0.0,100,Wrong OTP,Blocked - Wrong OTP,2026-05-31T14:57:41.657179,,,
fivefive,0.2,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,14.0,0.0,0.0,10.0,6.0,0.0933,20,Typing speed is very slow.,Legitimate,2026-05-31T14:57:53.364166,,,
bottle,0.24,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,15.0,0.0,0.0,10.0,6.0,0.0933,20,Typing speed is very slow.,Legitimate,2026-05-31T15:04:02.845098,,,
bottle,15.0,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,12.0,0.0,0.0,10.0,0.0,0.0933,0,,Legitimate,2026-06-01T12:24:25.438239,,,
bottle,15.0,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,12.0,0.0,0.0,10.0,0.0,0.0933,0,,Legitimate,2026-06-01T12:32:43.554951,,,
bottle,15.0,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,22.0,0.0,0.0,10.0,0.0,0.0467,0,,Legitimate,2026-06-01T22:08:52.653353,0.0933,0.0001,True
bottle,15.0,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,,,,,,0.0,100,Wrong password attempt,Failed,2026-06-01T22:14:01.516174,0.0,0.0,False
bottle,15.0,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,,,,,,0.0,100,Wrong password attempt,Failed,2026-06-01T22:14:13.597168,0.0,0.0,False
bottle,9.28,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,,,,,,0.0,100,Wrong password attempt,Failed,2026-06-01T22:14:22.776547,0.0,0.0,False
bottle,15.0,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,,,,,,0.0,100,Wrong password attempt,Failed,2026-06-01T22:14:29.016561,0.0,0.0,False
bottle,14.99,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,,,,,,0.0,100,Wrong password attempt,Failed,2026-06-01T22:14:34.599917,0.0,0.0,False
bottle,15.0,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,,,,,,0.0,100,Wrong password attempt,Failed,2026-06-01T22:14:44.125683,0.0,0.0,False
bottle,15.0,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,22.0,5.0,0.0,10.0,0.0,0.3233,25,Multiple recent failed password attempts were detected.,Legitimate,2026-06-01T22:15:13.423445,0.3233,0.0,False
bottle,15.0,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,22.0,4.0,0.0,10.0,0.0,0.3233,25,Multiple recent failed password attempts were detected.,Legitimate,2026-06-01T22:20:08.767465,0.3233,0.0,False
bottle,15.0,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,22.0,3.0,0.0,10.0,0.0,0.3233,25,Multiple recent failed password attempts were detected.,Legitimate,2026-06-01T22:26:45.236990,0.3233,0.0,False
bottle,15.0,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,22.0,3.0,0.0,9.0,0.0,0.0,100,High alert: 3 or more failed password attempts,High Risk,2026-06-01T22:57:21.829638,0.0,0.0,False
bottle,15.0,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,22.0,2.0,0.0,10.0,0.0,0.0,70,Wrong password attempt,Failed,2026-06-01T22:57:26.299850,0.0,0.0,False
bottle,15.0,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,22.0,2.0,0.0,12.0,0.0,0.0,70,Wrong password attempt,Failed,2026-06-01T22:57:29.860826,0.0,0.0,False
bottle,15.0,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,22.0,3.0,0.0,12.0,0.0,0.0,100,High alert: 3 or more failed password attempts,High Risk,2026-06-01T22:57:32.096498,0.0,0.0,False
bottle,15.0,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,22.0,3.0,0.0,12.0,0.0,0.0,100,High alert: 3 or more failed password attempts,High Risk,2026-06-01T22:57:33.757058,0.0,0.0,False
bottle,15.0,Australia,Australia,Sydney,New South Wales,2000,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,22.0,2.0,0.0,10.0,0.0,0.1621,10,Recent failed password attempts were detected.,Legitimate,2026-06-01T22:58:21.930929,0.3233,0.0008,True
